Код дефекта,Название дефекта
4336,"Открыть, закрыть, отремонтировать дверцу электрощитка"
38577,"Установка, замена, ремонт розетки/выключателя в квартире"
2170,"Выбивает автомат (пробки) при включении электроприборов, освещения"
38573,"Искрит розетка, выключатель, электропроводка (квартира)"
2149,"Искрит, дымится, плавится проводка в электрощитке"
1985,"Перепады, скачки напряжения в электросети"
1831,"Шум, гул в помещении электрощитовой, трансформаторной подстанции"
2231,Сильная течь гибкой подводки (подача воды)
1923,"Течь из-под двери квартиры, нежилого помещения"
38215,"Течь по стене в квартиру, подъезд из внутреннего водостока (разгерметизация, засор)"
2324,"Сильная течь по потолку, стенам в подъезде на последнем этаже (протечка крыши)"
2238,"Сильная течь по потолку, стенам, лестнице с верхнего этажа (подъезд)"
38218,"Сильная течь, пар в мусоропроводе, помещении мусорокамеры"
2164,Сильная течь полотенцесушителя
2283,"Сильная течь по потолку, стенам в квартире на последнем этаже (протечка крыши)"
2157,"Сильная течь, прорыв водопроводных труб (квартира)"
2229,Сильная течь стояка водоснабжения в техническом шкафу
4094,"Сильная течь по потолку, стенам с верхнего этажа (квартира)"
2158,Слабая течь водопроводных труб (квартира)
2189,"Сильная течь, прорыв канализационных труб, соединительных элементов (квартира)"
2323,"Слабая течь по потолку, стенам в подъезде на последнем этаже (протечка крыши)"
1937,Сильная течь стояка канализации в техническом шкафу
2208,"Слабая течь по потолку, стенам, лестнице с верхнего этажа (подъезд)"
2282,Слабая течь гибкой подводки (подача воды)
2162,"Слабая течь канализационных труб, соединительных элементов (квартира)"
38221,"Слабая течь, пар в мусоропроводе, помещении мусорокамеры"
2165,Слабая течь полотенцесушителя
2248,"Слабая течь по потолку, стенам в квартире на последнем этаже (протечка крыши)"
2213,Слабая течь стояка водоснабжения в техническом шкафу
2257,Течь на балкон с верхнего этажа
4093,"Слабая течь по потолку, стенам с верхнего этажа (квартира)"
40157,Течь по фасаду дома (осадки отсутствуют)
1939,Слабая течь стояка канализации в техническом шкафу
1873,"Повреждение, протечка козырька подъезда"
2255,"Прорыв, течь трубы водо-/теплоснабжения (дворовая территория)"
39276,"Течь в кабине, шахте лифта"
38214,Течь в пожарном шкафу
2094,"Течь трубы, поливочного крана (дворовая территория)"
2388,"Прорыв, сильная течь элементов системы отопления (квартира)"
2241,Течь на балкон с крыши (на последнем этаже)
2390,"Прорыв, сильная течь элементов системы отопления (подъезд)"
2387,Слабая течь элементов системы отопления (квартира)
2196,Течь сифона
2262,"Течь смесителя, душа"
2389,Слабая течь элементов системы отопления (подъезд)
40114,"Достать упавшие предметы из системы слива раковины, ванны, унитаза"
1618,"Закрепить раковину, ванну, унитаз, полотенцесушитель"
2274,"Сильная течь унитаза в местах соединений чаши с полом, бачком, раструбом"
2253,"Слабая течь унитаза в местах соединений чаши с полом, бачком, раструбом"
38216,"Замена, установка, демонтаж унитаза, сливного бачка, сиденья унитаза"
